============================= test session starts =============================
platform win32 -- Python 3.11.9, pytest-9.1.1, pluggy-1.6.0 -- C:\Users\91995\Documents\python tool validation\testmon\.venv\Scripts\python.exe
cachedir: .pytest_cache
testmon: new DB, environment: default
We'd like to hear from testmon users! Please go to https://testmon.org/survey to leave feedback.
rootdir: C:\Users\91995\Documents\python tool validation\testmon
configfile: pytest.ini (WARNING: ignoring pytest config in pyproject.toml!)
testpaths: tests
plugins: testmon-2.2.0
collecting ... collected 540 items

tests/generated/test_segment_000.py::test_auth_segment_000_00 PASSED     [  0%]
tests/generated/test_segment_000.py::test_auth_segment_000_01 PASSED     [  0%]
tests/generated/test_segment_000.py::test_auth_segment_000_02 PASSED     [  0%]
tests/generated/test_segment_000.py::test_auth_segment_000_03 PASSED     [  0%]
tests/generated/test_segment_000.py::test_auth_segment_000_04 PASSED     [  0%]
tests/generated/test_segment_000.py::test_auth_segment_000_05 PASSED     [  1%]
tests/generated/test_segment_000.py::test_auth_segment_000_06 PASSED     [  1%]
tests/generated/test_segment_000.py::test_auth_segment_000_07 PASSED     [  1%]
tests/generated/test_segment_000.py::test_users_segment_000_00 PASSED    [  1%]
tests/generated/test_segment_000.py::test_users_segment_000_01 PASSED    [  1%]
tests/generated/test_segment_000.py::test_users_segment_000_02 PASSED    [  2%]
tests/generated/test_segment_000.py::test_users_segment_000_03 PASSED    [  2%]
tests/generated/test_segment_000.py::test_users_segment_000_04 PASSED    [  2%]
tests/generated/test_segment_000.py::test_users_segment_000_05 PASSED    [  2%]
tests/generated/test_segment_000.py::test_users_segment_000_06 PASSED    [  2%]
tests/generated/test_segment_000.py::test_users_segment_000_07 PASSED    [  2%]
tests/generated/test_segment_000.py::test_orders_segment_000_00 PASSED   [  3%]
tests/generated/test_segment_000.py::test_orders_segment_000_01 PASSED   [  3%]
tests/generated/test_segment_000.py::test_orders_segment_000_02 PASSED   [  3%]
tests/generated/test_segment_000.py::test_orders_segment_000_03 PASSED   [  3%]
tests/generated/test_segment_000.py::test_orders_segment_000_04 PASSED   [  3%]
tests/generated/test_segment_000.py::test_orders_segment_000_05 PASSED   [  4%]
tests/generated/test_segment_000.py::test_orders_segment_000_06 PASSED   [  4%]
tests/generated/test_segment_000.py::test_orders_segment_000_07 PASSED   [  4%]
tests/generated/test_segment_000.py::test_payments_segment_000_00 PASSED [  4%]
tests/generated/test_segment_000.py::test_payments_segment_000_01 PASSED [  4%]
tests/generated/test_segment_000.py::test_payments_segment_000_02 PASSED [  5%]
tests/generated/test_segment_000.py::test_payments_segment_000_03 PASSED [  5%]
tests/generated/test_segment_000.py::test_payments_segment_000_04 PASSED [  5%]
tests/generated/test_segment_000.py::test_payments_segment_000_05 PASSED [  5%]
tests/generated/test_segment_000.py::test_payments_segment_000_06 PASSED [  5%]
tests/generated/test_segment_000.py::test_payments_segment_000_07 PASSED [  5%]
tests/generated/test_segment_000.py::test_inventory_segment_000_00 PASSED [  6%]
tests/generated/test_segment_000.py::test_inventory_segment_000_01 PASSED [  6%]
tests/generated/test_segment_000.py::test_inventory_segment_000_02 PASSED [  6%]
tests/generated/test_segment_000.py::test_inventory_segment_000_03 PASSED [  6%]
tests/generated/test_segment_000.py::test_inventory_segment_000_04 PASSED [  6%]
tests/generated/test_segment_000.py::test_inventory_segment_000_05 PASSED [  7%]
tests/generated/test_segment_000.py::test_inventory_segment_000_06 PASSED [  7%]
tests/generated/test_segment_000.py::test_inventory_segment_000_07 PASSED [  7%]
tests/generated/test_segment_000.py::test_reporting_segment_000_00 PASSED [  7%]
tests/generated/test_segment_000.py::test_reporting_segment_000_01 PASSED [  7%]
tests/generated/test_segment_000.py::test_reporting_segment_000_02 PASSED [  7%]
tests/generated/test_segment_000.py::test_reporting_segment_000_03 PASSED [  8%]
tests/generated/test_segment_000.py::test_reporting_segment_000_04 PASSED [  8%]
tests/generated/test_segment_000.py::test_reporting_segment_000_05 PASSED [  8%]
tests/generated/test_segment_000.py::test_reporting_segment_000_06 PASSED [  8%]
tests/generated/test_segment_000.py::test_reporting_segment_000_07 PASSED [  8%]
tests/generated/test_segment_000.py::test_notifications_segment_000_00 PASSED [  9%]
tests/generated/test_segment_000.py::test_notifications_segment_000_01 PASSED [  9%]
tests/generated/test_segment_000.py::test_notifications_segment_000_02 PASSED [  9%]
tests/generated/test_segment_000.py::test_notifications_segment_000_03 PASSED [  9%]
tests/generated/test_segment_000.py::test_notifications_segment_000_04 PASSED [  9%]
tests/generated/test_segment_000.py::test_notifications_segment_000_05 PASSED [ 10%]
tests/generated/test_segment_000.py::test_notifications_segment_000_06 PASSED [ 10%]
tests/generated/test_segment_000.py::test_notifications_segment_000_07 PASSED [ 10%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_00 PASSED [ 10%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_01 PASSED [ 10%]
tests/generated/test_segment_000.py::test_file_processing_segment_000_02 PASSED [ 10%]
